Task Name,Directions,Link,Link,Link,Link,Link
boutique hotels in the US Albuquerque,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-albuquerque-nm_hotel-andaluz-509bfd7166edc84661014f74-reviews,hipmunk.com/independent-hotels-in-albuquerque-nm_nativo-lodge-509bfe9766edc84661022610-reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Cascada-5254d4a07f2c6c59ae00004d-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_MCM-Elegante-509bfe1f66edc8466101ce16-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Clubhouse-Inn-Albuquerque-509bfea366edc84661022ced-Reviews
boutique hotels in the US Chicago,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-chicago-il/aloft-chicago-city-center-509c01b766edc84661049fb8-reviews,hipmunk.com/hotels-in-chicago-il/fairfield-inn-suites-chicago-downtownriver-north-509c024c66edc84661051a57-reviews,hipmunk.com/hotels-in-chicago-il/hilton-chicago-ohare-airport-509bfdaf66edc84661018274-reviews,hipmunk.com/independent-hotels-in-chicago-il_trump-international-hotel-tower-chicago-509bfe3766edc8466101e180-reviews,hipmunk.com/independent-hotels-in-chicago-il_millennium-knickerbocker-509bfdc766edc84661019276-reviews
boutique hotels in the US Texas,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-el-paso-tx_camino-real-hotel-el-paso-509bfbff66edc8466100281b-reviews,hipmunk.com/hotels-in-austin-tx/hilton-austin-airport-509bfea466edc84661022d94-reviews,hipmunk.com/hotels-in-austin-tx/crowne-plaza-austin-509bfdd766edc8466101993c-reviews,hipmunk.com/hotels-in-austin-tx/hampton-inn-and-suites-austin-downtown-509bfe1e66edc8466101cdce-reviews,hipmunk.com/hotels-in-houston-tx/hilton-houston-post-oak-509bfdc366edc84661018ff3-reviews
boutique hotels in the US California,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-irvine-ca/hilton-irvine-orange-county-airport-509bfdfd66edc8466101b5d5-reviews,hipmunk.com/hotels-in-irvine-ca/wyndham-irvine-orange-county-airport-509bfdd466edc846610198a0-reviews,hipmunk.com/hotels-in-la-jolla-ca/hilton-la-jolla-torrey-pines-5257f8d87f2c6c2dd90002ca-reviews,hipmunk.com/independent-hotels-in-la-jolla-ca_the-lodge-at-torrey-pines-509bfdce66edc8466101945c-reviews,hipmunk.com/hotels-in-los-angeles-ca/the-standard-downtown-la-509bfdb966edc8466101898b-reviews
boutique hotels in the US California,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-los-angeles-ca_miyako-hotel-los-angeles-509bfdc266edc84661018e82-reviews,hipmunk.com/independent-hotels-in-los-angeles-ca_stay-on-main-509bfd7166edc84661015008-reviews,hipmunk.com/hotels-in-monterey-ca/best-western-plus-victorian-inn-509bff2266edc84661028abb-reviews,hipmunk.com/hotels-in-oakland-ca/hilton-oakland-airport-509bfe3466edc8466101df5b-reviews,hipmunk.com/hotels-in-rancho-mirage-ca/westin-mission-hills-resort-villas-509bfdd066edc8466101954f-reviews
boutique hotels in the US Texas,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-austin-tx/hilton-austin-airport-509bfea466edc84661022d94-reviews,hipmunk.com/hotels-in-austin-tx/crowne-plaza-austin-509bfdd766edc8466101993c-reviews,hipmunk.com/hotels-in-austin-tx/hampton-inn-and-suites-austin-downtown-509bfe1e66edc8466101cdce-reviews,hipmunk.com/independent-hotels-in-el-paso-tx_camino-real-hotel-el-paso-509bfbff66edc8466100281b-reviews,hipmunk.com/hotels-in-houston-tx/hilton-houston-post-oak-509bfdc366edc84661018ff3-reviews
boutique hotels in the US Florida,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-key-west-fl/best-western-key-ambassador-resort-inn-509bfdc066edc84661018d58-reviews,hipmunk.com/hotels-in-miami-fl/conrad-miami-509c013066edc84661043704-reviews,hipmunk.com/hotels-in-miami-fl/doubletree-by-hilton-grand-hotel-biscayne-bay-509bfdce66edc84661019446-reviews,hipmunk.com/hotels-in-orlando-fl/sheraton-suites-orlando-airport-509bfbdb66edc84661000963-reviews,hipmunk.com/hotels-in-pensacola-beach-fl/springhill-suites-pensacola-beach-509bfbf466edc84661001fa3-reviews
boutique hotels in the US Pennsylvania,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-philadelphia-pa/four-points-by-sheraton-philadelphia-airport-509bfdc066edc84661018d6a-reviews,hipmunk.com/hotels-in-philadelphia-pa/microtel-inn-suites-by-wyndham-philadelphia-airport-509bfe3066edc8466101dca3-reviews,hipmunk.com/hotels-in-philadelphia-pa/sheraton-suites-philadelphia-airport-509c00fe66edc84661040e7e-reviews,hipmunk.com/hotels-in-pittsburgh-pa/renaissance-pittsburgh-hotel-509bfeda66edc84661025366-reviews,hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_Red-Roof-PLUS-Pittsburgh-South-Airport-509bfd7266edc84661015035-Reviews
boutique hotels in the US Virginia,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-alexandria-va/crowne-plaza-old-town-alexandria-509bfdd766edc846610199a3-reviews,hipmunk.com/hotels-in-alexandria-va/hilton-alexandria-old-town-509bfdc366edc84661018f48-reviews,hipmunk.com/hotels-in-alexandria-va/the-westin-alexandria-509bff4566edc84661029f35-reviews,hipmunk.com/hotels-in-arlington-va/holiday-inn-national-airport-crystal-city-509bfdf666edc8466101b02f-reviews,hipmunk.com/hotels-in-arlington-va/holiday-inn-rosslyn-at-key-bridge-509bfdd266edc84661019680-reviews
boutique hotels in the US Georgia,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-atlanta-ga/atlanta-marriott-suites-midtown-509bfdc466edc846610190ce-reviews,hipmunk.com/hotels-in-atlanta-ga/hyatt-atlanta-midtown-509bfdd166edc84661019636-reviews,hipmunk.com/hotels-in-atlanta-ga/intercontinental-buckhead-509bfdcf66edc8466101952d-reviews,hipmunk.com/independent-hotels-in-savannah-ga_the-marshall-house-509bfee966edc84661025ef2-reviews,hipmunk.com/Independent-Hotels-in-Braselton-GA_Chateau-Elan-509bfe7166edc84661020857-Reviews
boutique hotels in the US Washington,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-sea-tac-wa/doubletree-by-hilton-seattle-airport-509bfdd366edc84661019747-reviews,hipmunk.com/hotels-in-seattle-wa/quality-inn-suites-hotel-seattle-center-509bfcc866edc8466100c71c-reviews,hipmunk.com/hotels-in-spokane-wa/doubletree-by-hilton-spokane-city-center-509bfede66edc84661025606-reviews,hipmunk.com/independent-hotels-in-seattle-wa_mayflower-park-hotel-509bff4b66edc8466102a3f1-reviews,hipmunk.com/hotels-in-sea-tac-wa/seattle-airport-marriott-509bfdcc66edc84661019337-reviews
boutique hotels in the US Maryland,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-newport-coast-ca_the-resort-at-pelican-hill-509bff2b66edc846610291e8-reviews,hipmunk.com/hotels-in-baltimore-md/best-western-plus-hotel-conference-center-509c00e666edc8466103fe8d-reviews,hipmunk.com/hotels-in-bethesda-md/hyatt-regency-bethesda-509bff0466edc84661027385-reviews,hipmunk.com/independent-hotels-in-newport-coast-ca_the-resort-at-pelican-hill-509bff2b66edc846610291e8-reviews,hipmunk.com/independent-hotels-in-baltimore-md_hotel-monaco-baltimore-a-kimpton-hotel-509bfdc766edc846610192df-reviews
boutique hotels in the US California,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-anaheim-ca_alamo-inn-suites-509bfe6466edc84661020215-reviews,hipmunk.com/hotels-in-anaheim-ca/doubletree-suites-by-hilton-anaheim-rsrt-conv-cntr-50edd8b6bb290e795c0000ca-reviews,hipmunk.com/hotels-in-burlingame-ca/embassy-suites-san-francisco-airport-waterfront-509bfea666edc84661022ee5-reviews,hipmunk.com/hotels-in-costa-mesa-ca/costa-mesa-marriott-509bfdcf66edc846610194fd-reviews,hipmunk.com/independent-hotels-in-costa-mesa-ca_ayres-hotel-suites-costa-mesanewport-beach-509bfd7466edc846610151bf-reviews
boutique hotels in the US Florida,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-clearwater-beach-fl_sandpearl-resort-509bfdbf66edc84661018c53-reviews,hipmunk.com/independent-hotels-in-daytona-beach-fl_mayan-inn-daytona-beach-509c013066edc84661043703-reviews,hipmunk.com/hotels-in-miami-fl/conrad-miami-509c013066edc84661043704-reviews,hipmunk.com/hotels-in-miami-beach-fl/shelborne-wyndham-grand-south-beach-509c013066edc846610436ea-reviews,hipmunk.com/hotels-in-orlando-fl/sheraton-suites-orlando-airport-509bfbdb66edc84661000963-reviews
boutique hotels in the US Virginia,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-alexandria-va/hilton-alexandria-old-town-509bfdc366edc84661018f48-reviews,hipmunk.com/hotels-in-arlington-va/holiday-inn-national-airport-crystal-city-509bfdf666edc8466101b02f-reviews,hipmunk.com/hotels-in-arlington-va/holiday-inn-rosslyn-at-key-bridge-509bfdd266edc84661019680-reviews,hipmunk.com/hotels-in-richmond-va/richmond-marriott-509bfc1566edc84661003aa5-reviews,hipmunk.com/hotels-in-alexandria-va/the-westin-alexandria-509bff4566edc84661029f35-reviews
boutique hotels in the US California,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-anaheim-ca_alamo-inn-suites-509bfe6466edc84661020215-reviews,hipmunk.com/independent-hotels-in-anaheim-ca_la-quinta-inn-suites-anaheim-509bfdcf66edc84661019524-reviews,hipmunk.com/hotels-in-anaheim-ca/doubletree-suites-by-hilton-anaheim-rsrt-conv-cntr-50edd8b6bb290e795c0000ca-reviews,hipmunk.com/hotels-in-costa-mesa-ca/costa-mesa-marriott-509bfdcf66edc846610194fd-reviews,hipmunk.com/hotels-in-irvine-ca/hilton-irvine-orange-county-airport-509bfdfd66edc8466101b5d5-reviews
boutique hotels in the US Florida,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-key-west-fl/best-western-key-ambassador-resort-inn-509bfdc066edc84661018d58-reviews,hipmunk.com/hotels-in-miami-fl/the-ritz-carlton-coconut-grove-miami-509bfefb66edc84661026b74-reviews,hipmunk.com/hotels-in-miami-fl/doubletree-by-hilton-grand-hotel-biscayne-bay-509bfdce66edc84661019446-reviews,hipmunk.com/hotels-in-orlando-fl/sheraton-suites-orlando-airport-509bfbdb66edc84661000963-reviews,hipmunk.com/hotels-in-miami-beach-fl/shelborne-wyndham-grand-south-beach-509c013066edc846610436ea-reviews
