Campaign Name,Campaign Id,Article Type,Editor Cost,Client Id,Max Word,Company Name,User Name,Cp Cost,Pay By Article,Cp Article Cost,Editor Article Cost,Nofa,Estimate Money,Estimate Total,Assigned Words
Anaheim--CA--US--Top Hotel Properties,9193,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Miami--FL--US--Near Neighborhood,9258,125,0.010,350,300,Hipmunk,Hipmunk,0.120,0,0.000,0.000,6,$216,234,1800
Miami--FL--US--Near Landmark,9259,125,0.010,350,400,Hipmunk,Hipmunk,0.120,0,0.000,0.000,6,$288,312,2400
Miami--FL--US--Hotel Destination,9260,125,0.010,350,1250,Hipmunk,Hipmunk,0.120,0,0.000,0.000,1,$150,162.5,1250
Miami--FL--US--Flight Destination,9261,125,0.010,350,750,Hipmunk,Hipmunk,0.120,0,0.000,0.000,1,$90,97.5,750
Miami--FL--US--Near Airport,9262,125,0.010,350,500,Hipmunk,Hipmunk,0.120,0,0.000,0.000,1,$60,65,500
Miami--FL--US--Best Of,9263,125,0.010,350,750,Hipmunk,Hipmunk,0.120,0,0.000,0.000,3,$270,292.5,2250
Atlanta--GA--US--Hotel Properties,9274,126,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Atlanta--GA--US--Near Landmark,9331,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Austin--TX--US--Near Neighborhood,9338,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
Austin--TX--US--Near Landmark,9339,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Austin--TX--US--Flight Destination,9341,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Austin--TX--US--Near Airport,9342,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Austin--TX--US--Best Of,9343,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Philadelphia--PA--US--Hotel Destination,9348,120,0.010,350,1250,Hipmunk,Hipmunk,0.200,0,0.000,0.000,1,$250,262.5,1250
Rapid City--SD--US--Flight Destination,9393,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
Cheektowaga--NY--US--Hotel Properties,9409,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Cheektowaga--NY--US--Hotel Destination,9411,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Miami Springs--FL--US--Hotel Properties,9418,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
North Myrtle Beach--SC--US--Hotel Destination,9429,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Treasure Island--FL--US--Hotel Destination,9432,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Mount Pleasant--SC--US--Hotel Properties,9437,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Mount Pleasant--SC--US--Hotel Destination,9439,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Miramar Beach--FL--US--Hotel Properties,9464,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,5,$0,0,0
Miramar Beach--FL--US--Flight Destination,9465,122,0.010,350,50,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$3,3.5,50
Houston--TX--US--Near Landmark,9475,119,0.010,350,400,Hipmunk,Hipmunk,0.150,0,0.000,0.000,6,$360,384,2400
Houston--TX--US--Hotel Destination,9476,119,0.010,350,1250,Hipmunk,Hipmunk,0.150,0,0.000,0.000,1,$187.5,200,1250
Houston--TX--US--Flight Destination,9477,119,0.010,350,750,Hipmunk,Hipmunk,0.150,0,0.000,0.000,1,$112.5,120,750
Houston--TX--US--Near Airport,9478,119,0.010,350,500,Hipmunk,Hipmunk,0.150,0,0.000,0.000,1,$75,80,500
Houston--TX--US--Best Of,9479,119,0.010,350,750,Hipmunk,Hipmunk,0.150,0,0.000,0.000,3,$337.5,360,2250
Arlington--VA--US--Hotel Properties,9481,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,22,$0,0,0
Myrtle Beach--SC--US--Hotel Properties,9483,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Scottsdale--AZ--US--Top Hotel Properties,9486,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Memphis--TN--US--Hotel Properties,9489,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Jacksonville--FL--US--Top Hotel Properties,9490,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Jacksonville--FL--US--Hotel Properties,9491,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Ottawa--ON--CA--Top Hotel Properties,9499,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Ottawa--ON--CA--Hotel Properties,9500,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,20,$0,0,0
Ottawa--ON--CA--Flight Destination,9501,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Ottawa--ON--CA--Hotel Destination,9502,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Ottawa--ON--CA--Near Landmark,9503,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Ottawa--ON--CA--Near Neighborhood,9504,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Ottawa--ON--CA--Near Airport,9505,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Ottawa--ON--CA--Best Of,9506,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Budapest--None--HU--Top Hotel Properties,9507,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Budapest--None--HU--Hotel Properties,9508,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,20,$0,0,0
Budapest--None--HU--Flight Destination,9509,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Budapest--None--HU--Hotel Destination,9510,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Budapest--None--HU--Near Landmark,9511,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Budapest--None--HU--Near Neighborhood,9512,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Budapest--None--HU--Near Airport,9513,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Budapest--None--HU--Best Of,9514,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Frankfurt--HE--DE--Top Hotel Properties,9515,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Frankfurt--HE--DE--Hotel Properties,9516,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,20,$0,0,0
Frankfurt--HE--DE--Flight Destination,9517,122,0.010,350,0,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$0,0,0
Frankfurt--HE--DE--Hotel Destination,9518,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Frankfurt--HE--DE--Near Landmark,9519,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Frankfurt--HE--DE--Near Neighborhood,9520,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Frankfurt--HE--DE--Near Airport,9521,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Frankfurt--HE--DE--Best Of,9522,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Key West--FL--US--Hotel Destination,9523,128,0.010,350,1250,Hipmunk,Hipmunk,0.350,0,0.000,0.000,1,$437.5,450,1250
Kissimmee--FL--US--Hotel Destination,9532,127,0.010,350,1250,Hipmunk,Hipmunk,0.300,0,0.000,0.000,1,$375,387.5,1250
Myrtle Beach--SC--US--Hotel Destination,9551,121,0.010,350,1250,Hipmunk,Hipmunk,0.250,0,0.000,0.000,1,$312.5,325,1250
Long Beach--CA--US--Top Hotel Properties,9563,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Long Beach--CA--US--Hotel Properties,9564,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,17,$0,0,0
Long Beach--CA--US--Flight Destination,9565,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Long Beach--CA--US--Hotel Destination,9566,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Long Beach--CA--US--Near Landmark,9567,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Long Beach--CA--US--Near Neighborhood,9568,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Long Beach--CA--US--Near Airport,9569,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Long Beach--CA--US--Best Of,9570,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Long Island City--NY--US--Top Hotel Properties,9571,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Long Island City--NY--US--Hotel Properties,9572,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,6,$0,0,0
Long Island City--NY--US--Flight Destination,9573,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Long Island City--NY--US--Hotel Destination,9574,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Long Island City--NY--US--Near Landmark,9575,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Long Island City--NY--US--Best Of,9576,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
South San Francisco--CA--US--Top Hotel Properties,9578,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
South San Francisco--CA--US--Hotel Properties,9579,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,12,$0,0,0
South San Francisco--CA--US--Flight Destination,9580,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
South San Francisco--CA--US--Hotel Destination,9581,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
South San Francisco--CA--US--Best Of,9583,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
South San Francisco--CA--US--Near Landmark,9584,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$12,14,200
Birmingham--AL--US--Top Hotel Properties,9585,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Birmingham--AL--US--Hotel Properties,9586,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,18,$0,0,0
Birmingham--AL--US--Flight Destination,9587,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Birmingham--AL--US--Hotel Destination,9588,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Birmingham--AL--US--Near Landmark,9589,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Birmingham--AL--US--Near Neighborhood,9590,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Birmingham--AL--US--Near Airport,9591,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Birmingham--AL--US--Best Of,9592,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Daytona Beach--FL--US--Top Hotel Properties,9593,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Daytona Beach--FL--US--Hotel Properties,9594,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,16,$0,0,0
Daytona Beach--FL--US--Flight Destination,9596,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Daytona Beach--FL--US--Hotel Destination,9597,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Daytona Beach--FL--US--Near Landmark,9598,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Daytona Beach--FL--US--Near Neighborhood,9599,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$36,42,600
Daytona Beach--FL--US--Near Airport,9600,122,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$18,21,300
Daytona Beach--FL--US--Best Of,9601,125,0.010,350,400,Hipmunk,Hipmunk,0.120,0,0.000,0.000,3,$144,156,1200
Lake Buena Vista--FL--US--Top Hotel Properties,9602,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Lake Buena Vista--FL--US--Hotel Properties,9603,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,18,$0,0,0
Lake Buena Vista--FL--US--Flight Destination,9604,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Lake Buena Vista--FL--US--Hotel Destination,9605,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Lake Buena Vista--FL--US--Near Landmark,9606,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,2,$24,28,400
Lake Buena Vista--FL--US--Best Of,9608,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Key West--FL--US--Near Neighborhood,9609,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,4,$72,84,1200
Key West--FL--US--Near Landmark,9610,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Key West--FL--US--Flight Destination,9611,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Key West--FL--US--Near Airport,9613,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Key West--FL--US--Best Of,9614,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Kissimmee--FL--US--Near Landmark,9615,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Kissimmee--FL--US--Flight Destination,9616,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Kissimmee--FL--US--Near Airport,9617,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Kissimmee--FL--US--Best Of,9618,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
